"peak.num","subclass","Title","mz","rt","Adduct","MS2.score1","MS2.score2","rule1.score.Stand","rule2.score.Stand","final.score","top_n"
2704,"DLCL","DLCL 44:11_CAH_DLCL 18:0_26:11",1021.52,6.303,"[M-H]-",0.5,0.018,0.5,0.5,1.518,"Top 1"
5550,"DMPE","DMPE 54:7_CAH_DMPE 22:6_32:1",1012.77,10.5159,"[M-H]-",0.75,0.0387,0.5,0.5,1.7887,"Top 1"
1452,"DGDG","DGDG 33:5_CAH_DGDG 13:2_20:3",941.545,2.7185,"[M+HCOO]-",0.5,0.0758,0.5,0.5,1.5758,"Top 1"
116,"OxFA","OxFA 6:1;O_CAH_OxFA 6:1;O",129.056,0.8797,"[M-H]-",0.5,0.1277,0.230834229687548,0,0.858534229687548,"Top 1"
4097,"PEtOH","PEtOH 51:12_CAH_PEtOH 22:6_29:6",917.603,8.4426,"[M-H]-",0.5,0.0351,0.5,0.5,1.5351,"Top 1"
1445,"MGDG","MGDG 44:14_CAH_MGDG 18:2_26:12",915.531,2.7078,"[M+HCOO]-",0.75,0.0615,0.5,0.5,1.8115,"Top 1"
1445,"DGDG","DGDG 31:4_CAH_DGDG 13:2_18:2",915.531,2.7078,"[M+HCOO]-",0.5,0.0615,0.5,0.5,1.5615,"Top 2"
3130,"PI","PI 40:4_CAH_PI 20:4_20:0",913.58,7.0889,"[M-H]-",1,0.0674,0.874994912557384,0.874990464305175,2.81738537686256,"Top 1"
2911,"PI","PI 40:5_CAH_PI 18:1_22:4",911.569,6.6996,"[M-H]-",0.5,0.03,0.5,0.5,1.53,"Top 1"
2785,"PI","PI 40:5_CAH_PI 18:0_22:5",911.566,6.4589,"[M-H]-",1,0.0894,0.5,0.5,2.0894,"Top 1"
2404,"PI","PI 40:6_CAH_PI 18:0_22:6",909.55,5.787,"[M-H]-",1,0.09,0.5,0.5,2.09,"Top 1"
2198,"PI","PI 40:7_CAH_PI 18:1_22:6",907.534,5.0421,"[M-H]-",1,0.0808,0.5,0.5,2.0808,"Top 1"
2857,"PEtOH","PEtOH 50:14_CAH_PEtOH 20:4_30:10",899.563,6.5935,"[M-H]-",0.75,0.0339,0.5,0.5,1.7839,"Top 2"
