"input[, 1]","BC_1","BC_10","BC_11","BC_12","BC_13","BC_14","BC_15","BC_16","BC_17","BC_18","BC_19","BC_2","BC_20","BC_21","BC_22","BC_23","BC_24","BC_25","BC_26","BC_27","BC_28","BC_29","BC_3","BC_30","BC_31","BC_32","BC_33","BC_34","BC_35","BC_36","BC_37","BC_38","BC_39","BC_4","BC_40","BC_41","BC_42","BC_43","BC_44","BC_45","BC_46","BC_47","BC_48","BC_49","BC_5","BC_50","BC_51","BC_52","BC_53","BC_54","BC_55","BC_56","BC_57","BC_58","BC_59","BC_6","BC_60","BC_61","BC_62","BC_63","BC_64","BC_65","BC_66","BC_67","BC_68","BC_69","BC_7","BC_70","BC_71","BC_72","BC_73","BC_74","BC_75","BC_76","BC_8","BC_9","HD_1","HD_10","HD_11","HD_12","HD_13","HD_14","HD_15","HD_16","HD_17","HD_18","HD_19","HD_2","HD_20","HD_21","HD_22","HD_23","HD_24","HD_25","HD_26","HD_27","HD_28","HD_29","HD_3","HD_30","HD_31","HD_32","HD_33","HD_34","HD_35","HD_36","HD_37","HD_38","HD_39","HD_4","HD_40","HD_41","HD_42","HD_43","HD_44","HD_45","HD_46","HD_47","HD_48","HD_49","HD_5","HD_50","HD_51","HD_52","HD_53","HD_54","HD_55","HD_56","HD_57","HD_58","HD_59","HD_6","HD_60","HD_61","HD_62","HD_63","HD_64","HD_65","HD_66","HD_67","HD_68","HD_69","HD_7","HD_70","HD_71","HD_72","HD_73","HD_74","HD_75","HD_76","HD_77","HD_78","HD_79","HD_8","HD_80","HD_81","HD_82","HD_83","HD_84","HD_85","HD_86","HD_87","HD_88","HD_89","HD_9","HD_90","HD_91","HD_92","HD_93","HD_94","HD_95"
202.0779,0,4650210,0,0,0,0,0,0,0,0,191225.640625,0,0,0,0,0,0,0,2705580,0,5656046,0,0,0,171558.9375,0,0,0,177614.90625,1488663.625,179070.375,4552695.5,0,0,0,0,0,0,0,0,7296254,80355.6171875,0,0,0,0,0,161663.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7927716.5,0,4502535.5,0,0,2397320.25,0,0,0,0,15549703,0,0,3827305.5,3121083.5,178746.828125,5183809,0,0,187046.171875,0,7294778,0,0,12046536,0,4489617,0,0,0,0,1266420.875,0,0,0,5663087.5,0,0,0,0,0,49032.42578125,0,0,0,0,357801.375,0,0,0,1202414.25,0,0,0,0,0,0,4827193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152270.9375,377412.5,0,525650.625,0,2887204,0,4584953,0,0,0,0,0,0,0,0,0,0,3577619,0,0,2941798.25,0,0,0,0,0,4456870.5,0,0,0
279.2423,0,0,0,0,0,0,19522608,0,0,0,156685.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49365548,0,52847568,0,14054593,0,0,86184736,0,19820366,0,0,0,0,0,0,364755.90625,0,0,0,0,0,0,0,0,2653642.25,0,0,0,25759458,37281384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43016992,0,48005404,0,0,0,0,0,0,3299402,0,0,68139624,0,0,10568006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48323284,0,0,11719343,0,0,0,0,1026847.3125,0,0,43966684,0,0,0,0,0,5937271.5,46617.75390625,0,0,0,35686752,0,0,0,0,0,0,0,0,0,4864687.5,0,27946872,0,44047696,71070912,0,0,13443276,0,0,0,0,0,0,0,0,47325852,20775772,0,0,0,0,0,0,0,0,0
279.2479,0,0,0,0,0,0,8594721,0,0,0,68774.484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21169238,0,23169444,0,6072743,0,0,35906960,0,8449546,0,0,0,0,0,0,157815.328125,0,0,0,0,0,0,0,0,1125766,0,0,0,11231059,16153730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18575832,0,20304888,0,0,0,0,0,0,1424387.625,0,0,29366354,0,0,4598131.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20660240,14246101,0,5124173,0,0,0,0,442940.53125,0,0,18948842,0,0,0,0,0,2571701.75,20978.669921875,0,0,0,15235719,0,0,0,0,0,0,0,0,0,2111958.75,0,12172934,0,19343520,0,0,0,5876543,0,0,0,0,0,0,0,0,20616978,9009621,0,0,0,0,0,0,0,0,0
283.2688,0,0,0,0,0,0,10319560,0,192723.875,0,0,45938100,0,0,0,0,0,0,15585230,0,0,0,0,0,0,0,0,26050374,0,7267689,0,20188596,45428576,0,10987972,0,0,0,0,0,31474634,180164.40625,0,0,29271538,0,0,0,0,0,0,0,0,0,13589292,18454392,0,0,0,0,0,12881520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27187796,0,1634101.375,0,0,0,0,0,5122528.5,0,0,0,28184304,0,0,0,0,26214678,0,0,0,0,1016939.5,0,0,0,0,6267806,0,0,0,0,0,0,15024995,0,0,0,0,0,0,0,0,0,0,0,18420982,0,20457734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6858422,0,0,0,0,0,0,19599438,0,24935404,0,3057629.5,0,0,0,0,15746634,0,0,0
279.2366,0,0,0,0,0,0,0,80413536,0,0,252335.828125,152120544,0,0,0,0,0,0,47834320,0,0,22162110,0,0,995329.75,0,76906232,85019912,0,0,0,66736852,0,0,0,0,0,0,0,0,99007296,0,0,176603.46875,95673080,0,126813152,0,0,0,0,0,0,31085826,0,0,0,0,0,0,0,0,0,0,0,0,0,33804436,0,0,0,0,0,0,143926944,0,0,0,0,0,0,0,0,0,0,0,0,89071400,0,0,0,0,0,0,0,0,0,0,0,90123328,0,756946.0625,19531778,0,81698352,0,0,0,0,3205683.5,0,0,53598096,0,0,0,0,0,0,0,0,48234624,0,0,0,0,0,0,0,0,0,0,0,0,0,62497512,0,0,0,0,798399.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9998233,0,0,0,0,52694116,0,0,0
279.2367,0,0,0,0,0,0,31365444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79966952,0,0,0,22719048,0,0,140758304,0,32164352,0,0,0,0,0,0,589305.75,0,0,0,0,0,0,0,0,4311855,0,0,0,41515560,60201144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69529944,0,78072392,0,0,0,0,0,0,5333962,0,0,110193232,0,0,17041262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78345808,0,0,18868850,0,0,0,0,1660310.5,0,0,71109848,0,0,0,0,0,9589366,74290.5625,0,0,0,57883912,0,0,0,0,0,0,0,0,0,7850793,0,45048164,0,70830264,114278440,0,0,21644654,0,0,0,0,0,0,0,0,76289904,33538846,0,0,0,0,0,0,0,0,0
279.2422,0,0,0,0,0,0,0,49899064,0,0,0,95456408,0,0,0,0,0,0,29661432,0,0,13738505,0,0,619393.3125,0,47619164,0,0,0,0,41354244,0,0,0,0,0,0,0,0,61533712,0,0,110365.046875,59334100,0,78119752,0,0,0,0,0,0,19315218,0,0,0,0,0,0,0,25837256,0,0,0,0,0,21112198,0,0,0,0,0,0,89264032,0,0,0,0,0,0,0,0,0,0,0,0,55074004,0,0,0,0,0,0,0,0,0,0,0,55817596,0,472058.375,12136254,0,50563840,0,0,0,0,1999606.125,0,0,33120592,0,0,0,0,0,0,0,0,29738676,0,0,0,0,0,0,0,0,0,0,63716932,0,0,38700848,0,0,0,0,496544.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6194768,0,0,0,0,32729962,0,0,0
279.2535,0,0,0,0,0,0,2402033.75,0,0,0,19612.583984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6463118,0,1682440,0,0,9963245,0,2346717,0,0,0,0,0,0,43611.3125,0,0,0,0,0,0,0,0,312533.5,0,0,0,3127660.5,4489872.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5179529,0,5632561.5,0,0,0,0,0,0,395999.5,0,0,0,0,0,1285576.5,0,0,0,6744202,0,0,0,0,0,0,0,0,0,0,0,5744942.5,3965032.75,0,1428912.375,0,0,0,0,123048.953125,0,0,5275074.5,0,0,0,0,0,714976.8125,0,0,0,0,4235111,0,0,0,0,0,0,0,0,0,588046.1875,0,3408422.5,0,5391468.5,0,0,0,1648169.125,0,0,0,0,0,0,0,0,5734206.5,2502111.25,0,0,0,0,0,0,0,0,0
279.2142,0,0,0,0,0,0,0,0,0,0,26832.767578125,16227187,0,0,0,0,0,0,5565735.5,0,0,0,0,0,111780.625,0,9060676,9724489,0,0,0,0,0,0,0,0,0,0,0,0,11343677,0,0,0,11113981,0,15506173,0,0,0,0,0,0,3566829,4795387.5,0,0,0,0,0,0,0,0,0,0,0,0,3739547.5,0,0,0,0,0,0,16719989,0,0,0,0,0,0,0,0,0,0,0,0,10600971,0,0,0,0,0,0,0,1982746.5,0,0,0,10550070,0,84350.609375,2236088.75,0,9622140,0,0,0,0,356899.15625,0,0,6416610.5,0,0,0,0,0,0,0,0,5842229.5,0,0,0,0,0,0,0,0,0,0,0,7037096.5,0,7351460,0,0,0,0,90225.7109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166455.75,0,0,0,0,6062479,0,0,0
279.2199,0,0,0,0,0,0,12010889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32243194,0,0,0,9023865,0,0,59647564,0,13092881,0,0,0,0,0,0,232834.53125,0,0,0,0,0,0,0,0,1767893.75,0,0,0,16194316,23784816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27638744,0,32115608,0,0,0,0,0,0,2122565.25,0,0,43847368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31666802,0,0,7321919,0,0,0,0,661794.625,0,0,28402318,0,0,0,0,0,3778690.25,25938.7578125,0,0,0,23499622,0,0,0,0,0,0,0,0,0,3087090,0,17600902,0,27264134,43942156,0,0,8414971,0,0,0,0,0,0,0,0,29815682,13223242,0,0,0,0,0,0,0,0,0
279.2255,0,0,0,0,0,0,23145212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61118248,0,0,0,17184698,0,0,111405720,0,24749656,0,0,0,0,0,0,444378.5625,0,0,0,0,0,0,0,0,3335341.25,0,0,0,31019534,45376420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52638148,0,60548060,0,0,0,0,0,0,4040310.5,0,0,83502920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60003240,0,0,14048449,0,0,0,0,1259052.875,0,0,53994580,0,0,0,0,0,7217795.5,51928.9375,0,0,0,44462368,0,0,0,0,0,0,0,0,0,5898792,0,33705832,0,52446224,84564408,0,0,16137342,0,0,0,0,0,0,0,0,57078232,25245082,0,0,0,0,0,0,0,0,0
