"da.temp.mz","da.temp.intensity"
6e-04,0
0.0011,0
0.0015,0
0.0025,0
0.0026,0
0.0029,0
0.003,0
0.004,0
0.0044,0
0.0045,0
0.0046,0
0.005,0
0.0054,0
0.0055,0
0.0056,0
0.0057,0
0.0061,0
0.0065,0
0.0068,0
0.0072,0
0.0076,0
0.0099,0
0.0102,0
0.0125,0
0.0127,0
0.0128,0
0.0144,0
0.0146,0
0.0148,0
0.015,0
0.0156,0
0.0158,0
0.016,0
0.0167,0
0.0172,0
0.0174,0
0.0182,0
0.0185,0
0.0186,0
0.0187,0
0.0192,0
0.0193,0
0.0195,0
0.0199,0
0.0202,0
0.0215,0
0.0219,0
0.0221,0
0.0242,0
0.0243,0
0.0244,0
0.0249,0
0.0255,0
0.0256,0
0.0276,0
0.0278,0
0.0281,0
0.0283,0
0.0297,0
0.0304,0
0.0306,0
0.0307,0
0.0318,0
0.0323,0
0.0324,0
0.0326,0
0.0335,0
0.0339,0
0.0343,0
0.035,0
0.0353,0
0.0354,0
0.036,0
0.0364,0
0.0366,0
0.0368,0
0.0369,0
0.0385,0
0.0389,0
0.039,0
0.0406,0
0.0408,0
0.0413,0
0.0416,0
0.0419,0
0.042,0
0.0427,0
0.0433,0
0.0437,0
0.0454,0
0.0456,0
0.0457,0
0.0459,0
0.046,0
0.0461,0
0.0466,0
0.0469,0
0.0485,0
0.0488,0
0.049,0
0.0491,0
0.0499,0
0.0505,0
0.0508,0
0.0511,0
0.0512,0
0.0526,0
0.0527,0
0.0528,0
0.0533,0
0.0535,0
0.0537,0
0.054,0
0.0558,0
0.0561,0
0.0562,0
0.0563,0
0.0564,0
0.0566,0
0.0567,0
0.0568,0
0.0577,0
0.0582,0
0.0587,0
0.0594,0
0.0596,0
0.0599,0
0.0603,0
0.0604,0
0.0606,0
0.0618,0
0.0622,0
0.0623,0
0.0624,0
0.0635,0
0.0636,0
0.0642,0
0.0643,0
0.0644,0
0.0645,0
0.0646,0
0.0648,0
0.0656,0
0.0668,0
0.0671,0
0.0673,0
0.0676,0
0.0677,0
0.0679,0
0.0681,0
0.0684,0
0.0693,0
0.0698,0
0.0703,0
0.0707,0
0.0716,0
0.0718,0
0.0722,0
0.0724,0
0.0728,0
0.073,0
0.0736,0
0.0738,0
0.0743,0
0.0751,0
0.0768,0
0.0774,0
0.0776,0
0.0779,0
0.0782,0
0.0785,0
0.0788,0
0.0791,0
0.0795,0
0.0803,0
0.0806,0
0.0808,0
0.0809,0
0.0815,0
0.0819,0
0.0822,0
0.0824,0
0.0835,0
0.0848,0
0.0851,0
0.0853,0
0.0865,0
0.0873,0
0.0874,0
0.0876,0
0.0882,0
0.0883,0
0.0885,0
0.089,0
0.0893,0
0.09,0
0.0904,0
0.0909,0
0.0911,0
0.0912,0
0.0915,0
0.0916,0
0.0917,0
0.0919,0
0.0924,0
0.0925,0
0.0926,0
0.093,0
0.0931,0
0.0935,0
0.0936,0
0.0937,0
0.0939,0
0.0942,0
0.0946,0
0.0947,0
0.0948,0
0.0957,0
0.0965,0
0.0967,0
0.0968,0
0.0971,0
0.0973,0
0.0974,0
0.0975,0
0.0978,0
0.0981,0
0.0985,0
0.0991,0
0.0994,0
0.0996,0
0.0998,0
0.1,0
0.1001,0
0.1004,0
0.1006,0
0.1007,0
0.1018,0
0.102,0
0.1023,0
0.1025,0
0.1028,0
0.1034,0
0.1035,0
0.104,0
0.105,0
0.1053,0
0.1055,0
0.1057,0
0.1063,0
0.1066,0
0.1074,0
0.108,0
0.1086,0
0.1087,0
0.1093,0
0.1094,0
0.1097,0
0.1098,0
0.1105,0
0.1106,0
0.1107,0
0.1111,0
0.1113,0
0.1126,0
0.1128,0
0.1131,0
0.1135,0
0.114,0
0.115,0
0.1151,0
0.1154,0
0.1162,0
0.1168,0
0.1169,0
0.1175,0
0.1176,0
0.1184,0
0.1185,0
0.1188,0
0.1189,0
0.1193,0
0.1194,0
0.1195,0
0.1196,0
0.12,0
0.1201,0
0.1208,0
0.1211,0
0.1213,0
0.1215,0
0.1222,0
0.1224,0
0.1226,0
0.1238,0
0.1239,0
0.1244,0
0.1245,0
0.1247,0
0.125,0
0.1262,0
0.1266,0
0.1274,0
0.1283,0
0.1286,0
0.1289,0
0.1293,0
0.1298,0
0.1303,0
0.1306,0
0.1308,0
0.1313,0
0.1315,0
0.132,0
0.1323,0
0.1329,0
0.1334,0
0.1337,0
0.1338,0
0.134,0
0.1348,0
0.1349,0
0.135,0
0.1359,0
0.1369,0
0.1371,0
0.138,0
0.1381,0
0.1385,0
0.1393,0
0.1396,0
0.14,0
0.1402,0
0.1403,0
0.1409,0
0.1411,0
0.1414,0
0.1419,0
0.1425,0
0.1426,0
0.1427,0
0.1429,0
0.1433,0
0.1436,0
0.1439,0
0.1453,0
0.1456,0
0.1461,0
0.1463,0
0.1476,0
0.1477,0
0.1479,0
0.149,0
0.1491,0
0.1494,0
0.1499,0
0.15,0
0.1503,0
0.1505,0
0.1511,0
0.1514,0
0.1515,0
0.1518,0
0.1523,0
0.1528,0
0.1529,0
0.1531,0
0.1541,0
0.1544,0
0.1556,0
0.156,0
0.1561,0
0.1569,0
0.1572,0
0.1574,0
0.158,0
0.1588,0
0.1589,0
0.1592,0
0.1596,0
0.1598,0
0.1599,0
0.1606,0
0.1607,0
0.1613,0
0.1614,0
0.1615,0
0.1618,0
0.1624,0
0.1636,0
0.1638,0
0.1639,0
0.1644,0
0.1647,0
0.1659,0
0.166,0
0.1663,0
0.1669,0
0.1671,0
0.1672,0
0.1673,0
0.1675,0
0.1676,0
0.1682,0
0.1684,0
0.1688,0
0.1695,0
0.1696,0
0.1707,0
0.171,0
0.1713,0
0.1714,0
0.172,0
0.1722,0
0.1728,0
0.173,0
0.1732,0
0.1733,0
0.1734,0
0.1735,0
0.1736,0
0.175,0
0.1753,0
0.1754,0
0.1761,0
0.1763,0
0.1765,0
0.1773,0
0.1774,0
0.1782,0
0.1793,0
0.1797,0
0.1802,0
0.1803,0
0.182,0
0.1822,0
0.1824,0
0.1839,0
0.1842,0
0.1843,0
0.1844,0
0.1848,0
0.1851,0
0.1854,0
0.1858,0
0.1863,0
0.1865,0
0.1867,0
0.1868,0
0.1871,0
0.1872,0
0.1876,0
0.1886,0
0.189,0
0.1891,0
0.1896,0
0.1899,0
0.19,0
