"name","mz","ionmode"
"FA 1:0",44.9982,"neg"
"FA 1:0;O",60.99312,"neg"
"FA 10:0",171.13905,"neg"
"FA 10:0;O",187.13397,"neg"
"FA 10:1",169.1234,"neg"
"FA 10:1;O",185.11832,"neg"
"FA 10:2",167.10775,"neg"
"FA 10:2;O",183.10267,"neg"
"FA 10:3",165.0921,"neg"
"FA 10:3;O",181.08702,"neg"
"FA 11:0",185.1547,"neg"
"FA 11:0;O",201.14962,"neg"
"FA 11:1",183.13905,"neg"
"FA 11:1;O",199.13397,"neg"
"FA 11:2",181.1234,"neg"
"FA 11:2;O",197.11832,"neg"
"FA 11:3",179.10775,"neg"
"FA 11:3;O",195.10267,"neg"
"FA 12:0",199.17035,"neg"
"FA 12:0;O",215.16527,"neg"
"FA 12:1",197.1547,"neg"
"FA 12:1;O",213.14962,"neg"
"FA 12:2",195.13905,"neg"
"FA 12:2;O",211.13397,"neg"
"FA 12:3",193.1234,"neg"
"FA 12:3;O",209.11832,"neg"
"FA 13:0",213.186,"neg"
"FA 13:0;O",229.18092,"neg"
"FA 13:1",211.17035,"neg"
"FA 13:1;O",227.16527,"neg"
"FA 13:2",209.1547,"neg"
"FA 13:2;O",225.14962,"neg"
"FA 13:3",207.13905,"neg"
"FA 13:3;O",223.13397,"neg"
"FA 13:4",205.1234,"neg"
"FA 13:4;O",221.11832,"neg"
"FA 14:0",227.20165,"neg"
"FA 14:0;O",243.19657,"neg"
"FA 14:1",225.186,"neg"
"FA 14:1;O",241.18092,"neg"
"FA 14:2",223.17035,"neg"
"FA 14:2;O",239.16527,"neg"
"FA 14:3",221.1547,"neg"
"FA 14:3;O",237.14962,"neg"
"FA 14:4",219.13905,"neg"
"FA 14:4;O",235.13397,"neg"
"FA 15:0",241.2173,"neg"
"FA 15:0;O",257.21222,"neg"
"FA 15:1",239.20165,"neg"
"FA 15:1;O",255.19657,"neg"
"FA 15:2",237.186,"neg"
"FA 15:2;O",253.18092,"neg"
"FA 15:3",235.17035,"neg"
"FA 15:3;O",251.16527,"neg"
"FA 15:4",233.1547,"neg"
"FA 15:4;O",249.14962,"neg"
"FA 16:0",255.23295,"neg"
"FA 16:0;O",271.22787,"neg"
"FA 16:1",253.2173,"neg"
"FA 16:1;O",269.21222,"neg"
"FA 16:2",251.20165,"neg"
"FA 16:2;O",267.19657,"neg"
"FA 16:3",249.186,"neg"
"FA 16:3;O",265.18092,"neg"
"FA 16:4",247.17035,"neg"
"FA 16:4;O",263.16527,"neg"
"FA 17:0",269.2486,"neg"
"FA 17:0;O",285.24352,"neg"
"FA 17:1",267.23295,"neg"
"FA 17:1;O",283.22787,"neg"
"FA 17:2",265.2173,"neg"
"FA 17:2;O",281.21222,"neg"
"FA 17:3",263.20165,"neg"
"FA 17:3;O",279.19657,"neg"
"FA 17:4",261.186,"neg"
"FA 17:4;O",277.18092,"neg"
"FA 17:5",259.17035,"neg"
"FA 17:5;O",275.16527,"neg"
"FA 18:0",283.26425,"neg"
"FA 18:0;O",299.25917,"neg"
"FA 18:1",281.2486,"neg"
"FA 18:1;O",297.24352,"neg"
"FA 18:2",279.23295,"neg"
"FA 18:2;O",295.22787,"neg"
"FA 18:3",277.2173,"neg"
"FA 18:3;O",293.21222,"neg"
"FA 18:4",275.20165,"neg"
"FA 18:4;O",291.19657,"neg"
"FA 18:5",273.186,"neg"
"FA 18:5;O",289.18092,"neg"
"FA 19:0",297.2799,"neg"
"FA 19:0;O",313.27482,"neg"
"FA 19:1",295.26425,"neg"
"FA 19:1;O",311.25917,"neg"
"FA 19:2",293.2486,"neg"
"FA 19:2;O",309.24352,"neg"
"FA 19:3",291.23295,"neg"
"FA 19:3;O",307.22787,"neg"
"FA 19:4",289.2173,"neg"
"FA 19:4;O",305.21222,"neg"
"FA 19:5",287.20165,"neg"
"FA 19:5;O",303.19657,"neg"
"FA 2:0",59.01385,"neg"
"FA 2:0;O",75.00877,"neg"
"FA 20:0",311.29555,"neg"
"FA 20:0;O",327.29047,"neg"
"FA 20:1",309.2799,"neg"
"FA 20:1;O",325.27482,"neg"
"FA 20:2",307.26425,"neg"
"FA 20:2;O",323.25917,"neg"
"FA 20:3",305.2486,"neg"
"FA 20:3;O",321.24352,"neg"
"FA 20:4",303.23295,"neg"
"FA 20:4;O",319.22787,"neg"
"FA 20:5",301.2173,"neg"
"FA 20:5;O",317.21222,"neg"
"FA 21:0",325.3112,"neg"
"FA 21:0;O",341.30612,"neg"
"FA 21:1",323.29555,"neg"
"FA 21:1;O",339.29047,"neg"
"FA 21:2",321.2799,"neg"
"FA 21:2;O",337.27482,"neg"
"FA 21:3",319.26425,"neg"
"FA 21:3;O",335.25917,"neg"
"FA 21:4",317.2486,"neg"
"FA 21:4;O",333.24352,"neg"
"FA 21:5",315.23295,"neg"
"FA 21:5;O",331.22787,"neg"
"FA 21:6",313.2173,"neg"
"FA 21:6;O",329.21222,"neg"
"FA 22:0",339.32685,"neg"
"FA 22:0;O",355.32177,"neg"
"FA 22:1",337.3112,"neg"
"FA 22:1;O",353.30612,"neg"
"FA 22:2",335.29555,"neg"
"FA 22:2;O",351.29047,"neg"
"FA 22:3",333.2799,"neg"
"FA 22:3;O",349.27482,"neg"
"FA 22:4",331.26425,"neg"
"FA 22:4;O",347.25917,"neg"
"FA 22:5",329.2486,"neg"
"FA 22:5;O",345.24352,"neg"
"FA 22:6",327.23295,"neg"
"FA 22:6;O",343.22787,"neg"
"FA 23:0",353.3425,"neg"
"FA 23:0;O",369.33742,"neg"
"FA 23:1",351.32685,"neg"
"FA 23:1;O",367.32177,"neg"
"FA 23:2",349.3112,"neg"
"FA 23:2;O",365.30612,"neg"
"FA 23:3",347.29555,"neg"
"FA 23:3;O",363.29047,"neg"
"FA 23:4",345.2799,"neg"
"FA 23:4;O",361.27482,"neg"
"FA 23:5",343.26425,"neg"
"FA 23:5;O",359.25917,"neg"
"FA 23:6",341.2486,"neg"
"FA 23:6;O",357.24352,"neg"
"FA 24:0",367.35815,"neg"
"FA 24:0;O",383.35307,"neg"
