"peak.num","subclass","Title","Compound","mz","rt","Adduct","MS2.score1","MS2.score2","rule1.score.Stand","rule2.score.Stand","final.score"
1383,"OxFA","OxFA 8:1;O","OxFA 8:1;O",157.086,5.07495,"[M-H]-",1,0.00719779,0.5,0.5,2.00719779
645,"OxFA","OxFA 8:1;(2OH)","OxFA 8:1;(2OH)",157.087,2.58772,"[M-H]-",1,0.0052961475,0.5,0.5,2.0052961475
1062,"FA","FA 9:0","FA 9:0",157.123,4.02317,"[M-H]-",1,0.0136358,0.5,0.5,2.0136358
4202,"O2xFA","O2xFA 8:6;O2","O2xFA 8:6;O2",163.003,13.5649,"[M-H]-",0.5,0.0346466,0.5,0.5,1.5346466
3744,"CL","CL 76:8","CL 18:0_22:5_18:1_18:2",1504.02,12.1301,"[M-H]-",0.5,0.01414375,0.5,0.5,1.51414375
3744,"CL","CL 76:8","CL 18:0_18:2_18:1_22:5",1504.02,12.1301,"[M-H]-",0.5,0.01414375,0.5,0.5,1.51414375
3744,"CL","CL 76:8","CL 18:0_18:1_18:2_22:5",1504.02,12.1301,"[M-H]-",0.5,0.01414375,0.5,0.5,1.51414375
3744,"CL","CL 76:8","CL 16:0_18:1_20:3_22:4",1504.02,12.1301,"[M-H]-",0.5,0.00793965,0.5,0.5,1.50793965
3744,"CL","CL 76:8","CL 18:0_18:1_20:3_20:4",1504.02,12.1301,"[M-H]-",0.5,0.00793965,0.5,0.5,1.50793965
3744,"CL","CL 76:8","CL 16:0_20:3_18:1_22:4",1504.02,12.1301,"[M-H]-",0.5,0.00793965,0.5,0.5,1.50793965
3744,"CL","CL 76:8","CL 18:0_20:3_18:1_20:4",1504.02,12.1301,"[M-H]-",0.5,0.00793965,0.5,0.5,1.50793965
3744,"CL","CL 76:8","CL 16:0_22:4_18:1_20:3",1504.02,12.1301,"[M-H]-",0.5,0.00793965,0.5,0.5,1.50793965
3744,"CL","CL 76:8","CL 18:0_20:4_18:1_20:3",1504.02,12.1301,"[M-H]-",0.5,0.00793965,0.5,0.5,1.50793965
3744,"CL","CL 76:8","CL 16:0_18:2_20:3_22:3",1504.02,12.1301,"[M-H]-",0.5,0.013478,0.5,0.5,1.513478
3744,"CL","CL 76:8","CL 18:0_18:2_20:3_20:3",1504.02,12.1301,"[M-H]-",0.5833335,0.013478,0.5,0.5,1.5968115
3744,"CL","CL 76:8","CL 16:0_20:3_18:2_22:3",1504.02,12.1301,"[M-H]-",0.5,0.013478,0.5,0.5,1.513478
3744,"CL","CL 76:8","CL 16:0_22:3_18:2_20:3",1504.02,12.1301,"[M-H]-",0.5,0.013478,0.5,0.5,1.513478
3744,"CL","CL 76:8","CL 18:0_20:3_18:2_20:3",1504.02,12.1301,"[M-H]-",0.5833335,0.013478,0.5,0.5,1.5968115
3744,"CL","CL 76:8","CL 18:1_18:1_18:1_22:5",1504.02,12.1301,"[M-H]-",0.5,0.0072414875,0.5,0.5,1.5072414875
3744,"CL","CL 76:8","CL 18:1_18:1_18:2_22:4",1504.02,12.1301,"[M-H]-",0.5833335,0.01414375,0.5,0.5,1.59747725
3744,"CL","CL 76:8","CL 18:1_18:2_18:1_22:4",1504.02,12.1301,"[M-H]-",0.5833335,0.01414375,0.5,0.5,1.59747725
3744,"CL","CL 76:8","CL 16:1_18:1_20:3_22:3",1504.02,12.1301,"[M-H]-",0.5,0.00793965,0.5,0.5,1.50793965
3744,"CL","CL 76:8","CL 18:1_18:1_20:3_20:3",1504.02,12.1301,"[M-H]-",0.75,0.00793965,0.5,0.5,1.75793965
3744,"CL","CL 76:8","CL 16:1_20:3_18:1_22:3",1504.02,12.1301,"[M-H]-",0.5,0.00793965,0.5,0.5,1.50793965
3744,"CL","CL 76:8","CL 16:1_22:3_18:1_20:3",1504.02,12.1301,"[M-H]-",0.5,0.00793965,0.5,0.5,1.50793965
3744,"CL","CL 76:8","CL 18:1_20:3_18:1_20:3",1504.02,12.1301,"[M-H]-",0.75,0.00793965,0.5,0.5,1.75793965
3744,"CL","CL 76:8","CL 18:1_18:2_18:2_22:3",1504.02,12.1301,"[M-H]-",0.5833335,0.01414375,0.5,0.5,1.59747725
