"da.temp.mz","da.temp.intensity"
1e-04,0
6e-04,0
0.0011,0
0.0015,0
0.0025,0
0.0026,0
0.0029,0
0.003,0
0.004,0
0.0044,0
0.0045,0
0.0046,0
0.005,0
0.0054,0
0.0055,0
0.0056,0
0.0057,0
0.0061,0
0.0065,0
0.0068,0
0.0072,0
0.0076,0
0.0099,0
0.0102,0
0.0125,0
0.0127,0
0.0128,0
0.0144,0
0.0146,0
0.0148,0
0.015,0
0.0156,0
0.0158,0
0.016,0
0.0167,0
0.0172,0
0.0174,0
0.0182,0
0.0185,0
0.0186,0
0.0187,0
0.0192,0
0.0193,0
0.0195,0
0.0199,0
0.0202,0
0.0215,0
0.0219,0
0.0221,0
0.0242,0
0.0243,0
0.0244,0
0.0249,0
0.0255,0
0.0256,0
0.0276,0
0.0278,0
0.0281,0
0.0283,0
0.0297,0
0.0304,0
0.0306,0
0.0307,0
0.0318,0
0.0323,0
0.0324,0
0.0326,0
0.0335,0
0.0339,0
0.0343,0
0.035,0
0.0353,0
0.0354,0
0.036,0
0.0364,0
0.0366,0
0.0368,0
0.0369,0
0.0385,0
0.0389,0
0.039,0
0.0406,0
0.0408,0
0.0413,0
0.0416,0
0.0419,0
0.042,0
0.0427,0
0.0433,0
0.0437,0
0.0454,0
0.0456,0
0.0457,0
0.0459,0
0.046,0
0.0461,0
0.0466,0
0.0469,0
0.0485,0
0.0488,0
0.049,0
0.0491,0
0.0499,0
0.0505,0
0.0508,0
0.0511,0
0.0512,0
0.0526,0
0.0527,0
0.0528,0
0.0533,0
0.0535,0
0.0537,0
0.0548,0
0.0558,0
0.0561,0
0.0562,0
0.0563,0
0.0564,0
0.0566,0
0.0567,0
0.0568,0
0.0577,0
0.0582,0
0.0587,0
0.0594,0
0.0596,0
0.0599,0
0.0603,0
0.0604,0
0.0606,0
0.0618,0
0.0622,0
0.0623,0
0.0624,0
0.0635,0
0.0636,0
0.0642,0
0.0643,0
0.0644,0
0.0645,0
0.0646,0
0.0648,0
0.0656,0
0.0668,0
0.0671,0
0.0673,0
0.0676,0
0.0677,0
0.0679,0
0.0681,0
0.0684,0
0.0693,0
0.0698,0
0.0703,0
0.0707,0
0.0716,0
0.0718,0
0.0722,0
0.0724,0
0.0728,0
0.073,0
0.0736,0
0.0738,0
0.0743,0
0.0751,0
0.0768,0
0.0774,0
0.0776,0
0.0779,0
0.0782,0
0.0785,0
0.0788,0
0.0791,0
0.0795,0
0.0803,0
0.0806,0
0.0808,0
0.0809,0
0.0815,0
0.0819,0
0.0824,0
0.0835,0
0.0848,0
0.0851,0
0.0853,0
0.0865,0
0.0873,0
0.0874,0
0.0876,0
0.0882,0
0.0883,0
0.0885,0
0.089,0
0.0893,0
0.09,0
0.0904,0
0.0909,0
0.0911,0
0.0912,0
0.0915,0
0.0916,0
0.0917,0
0.0919,0
0.0924,0
0.0925,0
0.0926,0
0.093,0
0.0931,0
0.0935,0
0.0936,0
0.0937,0
0.0939,0
0.0942,0
0.0946,0
0.0947,0
0.0948,0
0.0957,0
0.0965,0
0.0967,0
0.0968,0
0.0971,0
0.0973,0
0.0974,0
0.0975,0
0.0978,0
0.0981,0
0.0985,0
0.0991,0
0.0994,0
0.0996,0
0.0998,0
0.1,0
0.1001,0
0.1004,0
0.1006,0
0.1007,0
0.1018,0
0.102,0
0.1023,0
0.1025,0
0.1028,0
0.1034,0
0.1035,0
0.104,0
0.105,0
0.1053,0
0.1055,0
0.1057,0
0.1063,0
0.1066,0
0.1074,0
0.108,0
0.1086,0
0.1087,0
0.1093,0
0.1094,0
0.1097,0
0.1098,0
0.1105,0
0.1106,0
0.1107,0
0.1111,0
0.1113,0
0.1128,0
0.1131,0
0.1135,0
0.115,0
0.1151,0
0.1154,0
0.1162,0
0.1168,0
0.1169,0
0.1175,0
0.1176,0
0.1184,0
0.1185,0
0.1188,0
0.1189,0
0.1193,0
0.1194,0
0.1195,0
0.1196,0
0.12,0
0.1201,0
0.1208,0
0.1211,0
0.1213,0
0.1215,0
0.1222,0
0.1224,0
0.1226,0
0.1238,0
0.1239,0
0.1244,0
0.1245,0
0.1247,0
0.125,0
0.1262,0
0.1266,0
0.1274,0
0.1283,0
0.1286,0
0.1289,0
0.1293,0
0.1298,0
0.1303,0
0.1306,0
0.1308,0
0.1313,0
0.1315,0
0.132,0
0.1323,0
0.1329,0
0.1334,0
0.1337,0
0.1338,0
0.134,0
0.1348,0
0.1349,0
0.135,0
0.1359,0
0.1369,0
0.1371,0
0.138,0
0.1381,0
0.1385,0
0.1393,0
0.1396,0
0.14,0
0.1402,0
0.1403,0
0.1409,0
0.1411,0
0.1414,0
0.1419,0
0.1425,0
0.1426,0
0.1427,0
0.1429,0
0.1433,0
0.1436,0
0.1439,0
0.1453,0
0.1456,0
0.1461,0
0.1463,0
0.1476,0
0.1477,0
0.1479,0
0.149,0
0.1491,0
0.1494,0
0.1499,0
0.15,0
0.1503,0
0.1505,0
0.1511,0
0.1515,0
0.1518,0
0.1523,0
0.1528,0
0.1529,0
0.1531,0
0.1541,0
0.1544,0
0.1556,0
0.156,0
0.1561,0
0.1569,0
0.1572,0
0.1574,0
0.158,0
0.1588,0
0.1589,0
0.1592,0
0.1596,0
0.1598,0
0.1599,0
0.1606,0
0.1607,0
0.1613,0
0.1614,0
0.1615,0
0.1618,0
0.1624,0
0.1636,0
0.1638,0
0.1639,0
0.1644,0
0.1647,0
0.1659,0
0.166,0
0.1663,0
0.1669,0
0.1671,0
0.1672,0
0.1673,0
0.1675,0
0.1676,0
0.1682,0
0.1684,0
0.1688,0
0.1695,0
0.1696,0
0.1707,0
0.171,0
0.1713,0
0.1714,0
0.172,0
0.1722,0
0.1728,0
0.173,0
0.1732,0
0.1733,0
0.1734,0
0.1735,0
0.175,0
0.1753,0
0.1754,0
0.1761,0
0.1763,0
0.1765,0
0.1773,0
0.1774,0
0.1782,0
0.1793,0
0.1797,0
0.1802,0
0.1803,0
0.182,0
0.1822,0
0.1824,0
0.1839,0
0.1842,0
0.1843,0
0.1844,0
0.1848,0
0.1851,0
0.1854,0
0.1858,0
0.1863,0
0.1865,0
0.1867,0
0.1868,0
0.1871,0
0.1872,0
0.1876,0
0.1886,0
0.189,0
0.1891,0
0.1896,0
0.1899,0
0.19,0
0.1906,0
0.1908,0
0.1913,0
0.192,0
0.1936,0
0.1939,0
0.194,0
0.1943,0
0.1951,0
0.1952,0
0.1957,0
0.196,0
0.1961,0
0.1964,0
0.1965,0
0.1967,0
0.1968,0
0.197,0
0.1976,0
0.1978,0
0.198,0
0.1991,0
0.1992,0
0.2005,0
0.2006,0
0.2007,0
0.2009,0
0.2011,0
0.2012,0
0.2016,0
0.2025,0
0.2026,0
0.2032,0
0.2036,0
0.2039,0
0.204,0
0.2054,0
0.2058,0
0.2077,0
0.2084,0
0.2085,0
0.2097,0
0.21,0
0.2102,0
0.2111,0
0.2112,0
0.2114,0
0.2125,0
0.213,0
0.2131,0
0.2135,0
0.2137,0
0.2138,0
0.214,0
0.2141,0
0.2148,0
0.215,0
0.2157,0
0.2159,0
0.2168,0
0.2177,0
0.2182,0
0.2186,0
0.2188,0
0.2192,0
0.2197,0
0.2207,0
0.222,0
0.2225,0
0.2229,0
0.2231,0
0.2252,0
0.2253,0
0.2254,0
0.2269,0
0.2278,0
0.2279,0
0.228,0
0.2281,0
0.2287,0
0.2289,0
0.229,0
0.2293,0
0.2295,0
0.2301,0
0.2311,0
0.2314,0
0.2315,0
0.2321,0
0.2326,0
0.2327,0
0.2328,0
0.2329,0
0.2336,0
0.2339,0
0.234,0
0.2345,0
0.235,0
0.2352,0
0.2354,0
0.2357,0
0.2361,0
0.2363,0
0.2364,0
0.2366,0
0.2368,0
0.2369,0
0.2376,0
0.2377,0
0.2381,0
0.2382,0
0.2384,0
0.2388,0
0.2391,0
0.2394,0
0.2397,0
0.24,0
0.2402,0
0.2404,0
0.2409,0
0.2419,0
0.2421,0
0.2424,0
0.2434,0
0.2436,0
0.2444,0
0.2457,0
0.246,0
0.2474,0
0.2475,0
0.2476,0
0.2483,0
0.2495,0
0.2511,0
0.2513,0
0.2515,0
0.2521,0
0.2524,0
0.2538,0
0.254,0
0.2542,0
0.2546,0
0.2552,0
0.2557,0
0.256,0
0.2561,0
0.2571,0
0.2572,0
0.2575,0
0.2576,0
0.2584,0
0.2585,0
0.2586,0
0.2589,0
0.259,0
0.2591,0
0.2592,0
0.2596,0
0.2604,0
0.2605,0
0.2606,0
0.2609,0
0.2611,0
0.2615,0
0.2621,0
0.2622,0
0.2626,0
0.2629,0
0.263,0
0.2633,0
0.2635,0
0.2636,0
0.2643,0
0.2651,0
0.2655,0
0.2656,0
0.2657,0
0.266,0
0.2669,0
0.2672,0
0.2677,0
0.2688,0
0.2699,0
0.2705,0
0.2707,0
0.2718,0
0.2721,0
0.2724,0
0.2725,0
0.2728,0
0.2732,0
0.274,0
0.2744,0
0.2746,0
0.2747,0
0.2749,0
0.2751,0
0.2754,0
0.2768,0
0.2769,0
0.2782,0
0.2783,0
0.2784,0
0.2789,0
0.2794,0
0.2796,0
0.2802,0
0.2803,0
0.2805,0
0.2807,0
0.2814,0
0.2816,0
0.2824,0
0.2829,0
0.2833,0
0.2835,0
0.2837,0
0.2839,0
0.2845,0
0.2846,0
0.2847,0
0.2848,0
0.2864,0
0.2865,0
0.2867,0
0.2871,0
0.2875,0
0.2876,0
0.288,0
0.2882,0
0.2884,0
0.2906,0
0.291,0
0.2914,0
0.2915,0
0.2916,0
0.2921,0
0.2924,0
0.2928,0
0.2929,0
0.2932,0
0.2935,0
0.2937,0
0.2938,0
0.2942,0
0.295,0
0.2951,0
0.2964,0
0.2971,0
0.2974,0
0.2986,0
0.2989,0
0.299,0
0.2991,0
0.3003,0
0.3012,0
0.3013,0
0.3015,0
0.3019,0
0.3021,0
0.3027,0
0.3032,0
0.3038,0
0.3039,0
0.304,0
0.3045,0
0.3062,0
0.3067,0
0.3081,0
0.3082,0
0.3093,0
0.3103,0
0.3107,0
0.3109,0
0.3116,0
0.3119,0
0.3124,0
0.3126,0
0.3132,0
0.3139,0
0.3143,0
0.3158,0
